trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.5, 'e': 0.9210609940028851}",25,0,-65.21865055037235,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9191023971657747}",20,0,-147.4411630200198,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9171208228166051}",25,0,-120.30324672755863,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9151163204946318}",20,0,-168.70088783400288,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-164.14654640110624,"{0: 14, 1: 5, 2: 1, 3: 3, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9110387329540337}",25,8,-158.06749422994957,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 3}",1
87,False,"{'a': 0.5, 'e': 0.9089657496748851}",30,0,-77.60773206833561,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9068700422993367}",30,1,-197.8542306521224,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 3}",1
89,False,"{'a': 0.5, 'e': 0.9047516632199634}",30,0,-139.28378058664347,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9026106653961321}",20,0,-49.701442442065336,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-117.56977885136212,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.8982610281785611}",30,0,-132.8566847984548,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.8960524975255252}",20,0,-145.07313084427946,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.8938215656067205}",25,0,-40.42694534702144,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.891568288195329}",25,10,-2.273610729044614,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
